"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","Tgt","Rec","Ctch.","Yds","Y.R","TD","Lng","Y.Tgt","R.G","Y.G","Fmb","Player_ID"
"98",98,"Sammy Watkins","0","WatkSa00","KAN",25,"WR",10,9,55,40,0.727,519,13,3,50,9.4,4,51.9,1,"138459af4deddf388cc089aaec3fe1a75dc42369"
"99",99,"Austin Ekeler","0","EkelAu00","LAC",23,"rb",14,3,53,39,0.736,404,10.4,3,44,7.6,2.8,28.9,1,"416cd1eed7bce31b549a132de2ddfc2f3be64b65"
"100",100,"Chris Herndon","0","HernCh00","NYJ",22,"TE",16,12,56,39,0.696,502,12.9,4,32,9,2.4,31.4,2,"feff9c9518c08fdce0caa30325a6fc1fd56f839a"
"101",101,"Rashard Higgins","0","HiggRa00","CLE",24,"wr",13,1,53,39,0.736,572,14.7,4,40,10.8,3,44,2,"e24e4bb0cc7dbf516ca292c0470278f597821a1c"
"102",102,"Curtis Samuel","0","SamuCu00","CAR",22,"WR",13,8,65,39,0.6,494,12.7,5,53,7.6,3,38,1,"bf26b819dd526189d428da766a469119f99b28c2"
"104",104,"Randall Cobb","0","CobbRa00","GNB",28,"wr",9,6,61,38,0.623,383,10.1,2,75,6.3,4.2,42.6,2,"e95c8743eb42ba4701beaf786a1351ddc73fe9d0"
"105",105,"Keelan Cole","0","ColeKe00","JAX",25,"WR",16,11,70,38,0.543,491,12.9,1,35,7,2.4,30.7,2,"fdeec0d868778a4aa39022f2977bb6fbc6cb58d0"
"106",106,"Quincy Enunwa","0","EnunQu00","NYJ",26,"WR",11,10,68,38,0.559,449,11.8,1,42,6.6,3.5,40.8,2,"dc3f20b1ac9a641f6e72e43a243b17a5d4aa2946"
"108",108,"Marquez Valdes-Scantling","0","ValdMa00","GNB",24,"WR",16,10,73,38,0.521,581,15.3,2,60,8,2.4,36.3,0,"8bedb38fc57205df408d097079fae039d7715f51"
"109",109,"Jermaine Kearse","0","KearJe01","NYJ",28,"WR",14,9,76,37,0.487,371,10,1,29,4.9,2.6,26.5,0,"a15d4cd9ae84b1bb59a4339f6c48df253fb645af"
"110",110,"Kenny Stills","0","StilKe00","MIA",26,"WR",15,15,64,37,0.578,553,14.9,6,75,8.6,2.5,36.9,1,"da2949b50e8c90172460e33ea0b16b9125139c5e"
"111",111,"Taywan Taylor","0","TaylTa00","TEN",23,"wr",13,5,56,37,0.661,466,12.6,1,55,8.3,2.8,35.8,1,"2c9c40977ed8b22316657052519c52c479213e22"
"113",113,"Ian Thomas","0","ThomIa00","CAR",22,"te",16,6,49,36,0.735,333,9.3,2,31,6.8,2.3,20.8,0,"f1d0eb9c95b175fd9c2f9f0d577bbf592fcbb3a4"
"116",116,"Ryan Grant","0","GranRy01","IND",28,"WR",14,10,52,35,0.673,334,9.5,1,23,6.4,2.5,23.9,0,"f7998632880cf5b4ead40108c033efbe03038fd7"
"117",117,"Chris Hogan","0","HogaCh00","NWE",31,"wr",16,7,55,35,0.636,532,15.2,3,63,9.7,2.2,33.3,0,"0dfef90f2bfc7769871caa4f84d4d882b5e5d75d"
"118",118,"Marvin Jones","0","JoneMa02","DET",28,"WR",9,9,62,35,0.565,508,14.5,5,39,8.2,3.9,56.4,0,"b48f8bdedfd8d4540548df591d3147b7513a0801"
"120",120,"Laquon Treadwell","0","TreaLa00","MIN",23,"wr",15,7,53,35,0.66,302,8.6,1,22,5.7,2.3,20.1,0,"9a243da6e67a8f5c878cc74477bb17fff6c503a8"
"121",121,"Ben Watson","0","WatsBe00","NOR",38,"te",16,4,46,35,0.761,400,11.4,2,32,8.7,2.2,25,0,"1031e9d919e5217341e57849b090b039b2714e66"
"122",122,"Mark Andrews","0","AndrMa00","BAL",22,"te",16,3,50,34,0.68,552,16.2,3,74,11,2.1,34.5,0,"789312a7b43c01458406d98210a1b3991b4ebe03"
"124",124,"O.J. Howard","0","HowaO.00","TAM",24,"TE",10,8,48,34,0.708,565,16.6,5,75,11.8,3.4,56.5,0,"dcc092f4a0e42708d62c7f7b2cb41736b1885266"
"126",126,"Ricky Seals-Jones","0","SealRi00","ARI",23,"te",15,5,69,34,0.493,343,10.1,1,40,5,2.3,22.9,0,"0d90a2baa845ed11cf137cb8f82e074473b19076"
"128",128,"Michael Gallup","0","GallMi00","DAL",22,"WR",16,8,68,33,0.485,507,15.4,2,49,7.5,2.1,31.7,0,"7f45e7f61e02ee5bb6fc580a5f602f00a159292e"
"129",129,"Dallas Goedert","0","GoedDa00","PHI",23,"TE",16,8,44,33,0.75,334,10.1,4,32,7.6,2.1,20.9,0,"309b89ea8dc92f0a72fc7928d4a5d2246dcbaadd"
"130",130,"Anthony Miller","0","MillAn02","CHI",24,"wr",15,4,54,33,0.611,423,12.8,7,55,7.8,2.2,28.2,1,"7f60e546f23fadb852b0a60343ad718e6d786196"
"132",132,"Chris Conley","0","ConlCh00","KAN",26,"WR",16,13,52,32,0.615,334,10.4,5,27,6.4,2,20.9,2,"77d130dc456db42d3dfa003466888d800d57e370"
